SERVIÇO,count
PACOTE,957
BANHO+TOSA,406
BANHO,383
DIFER TOSA,319
PACOTE+TRANSP,294
PACOTE 2,97
PACOTE+DIFER TOSA,94
BANHO 2,59
BANHO+TOSA 2,54
CLINICA,45
TRANSP,42
BANHO+TRANSP,25
BANHO E TOSA,25
DIFER TOSA 2,25
PACOTE+DIFER TOSA 2,24
BANHO+TOSA+TRANSP,23
PACOTE 2+TRANSP,23
BANHO+TOSA ,22
PACOTE ,21
PACOTE+PACOTE+TRANSP,19
BANHO+BANHO+TOSA,18
DESEMB,17
PACOTE+TRANSP+DIFER TOSA,16
BANHO+DESEMB,16
DIFER TOSA+HIDRAT,16
PACOTE+TRANSP 2,16
CORTE DE UNHA,14
BANHO+HIDRAT,13
BANHO 3,13
TOSA,13
PACOTE 3+TRANSP,10
PACOTE 3,9
BANHO+TOSA+HIDRAT,8
DIFER TOSA+DIFER HIDRAT,8
PACOTE COM TRANSPORTE,6
CORTE UNHA,5
#REF!,1
COLORAÇÃO PELOS,1
