Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-24T22:40:41.240Z","Included","composer-2-fast","Yes","0","2354","86656","1333","90343","Included"
"2026-03-24T22:31:32.227Z","Included","composer-2-fast","Yes","0","345739","126720","38736","511195","Included"
"2026-03-24T21:24:33.904Z","Included","gpt-5.3-codex","Yes","0","30614","795365","37625","863604","Included"
"2026-03-24T21:17:28.392Z","Included","gpt-5.3-codex","Yes","0","307818","995968","20107","1323893","Included"
"2026-03-24T21:05:10.346Z","Included","gpt-5.3-codex","Yes","0","264978","1688320","18351","1971649","Included"
"2026-03-24T21:04:39.898Z","Errored, No Charge","gpt-5.3-codex","Yes","0","0","0","0","0","-"
"2026-03-24T20:56:49.004Z","Included","gpt-5.3-codex","Yes","0","13340","1283840","3980","1301160","Included"
"2026-03-24T20:56:10.325Z","Included","gpt-5.3-codex","Yes","0","675","203264","241","204180","Included"
"2026-03-24T20:55:18.779Z","Included","gpt-5.3-codex","Yes","0","1347","201984","251","203582","Included"
"2026-03-24T20:54:04.775Z","Included","gpt-5.3-codex","Yes","0","3620","198528","1168","203316","Included"
"2026-03-24T20:52:25.459Z","Included","gpt-5.3-codex","Yes","0","6101","1202304","1976","1210381","Included"
"2026-03-24T20:50:04.637Z","Included","gpt-5.3-codex","Yes","0","3704","787200","2493","793397","Included"
"2026-03-24T20:48:58.226Z","Included","gpt-5.3-codex","Yes","0","6445","771840","1088","779373","Included"
"2026-03-24T20:45:26.292Z","Included","gpt-5.3-codex","Yes","0","3546","950400","2374","956320","Included"
"2026-03-24T20:43:39.824Z","Included","gpt-5.3-codex","Yes","0","22362","730624","1429","754415","Included"
"2026-03-24T20:42:45.623Z","Included","gpt-5.3-codex","Yes","0","46877","305408","1589","353874","Included"
"2026-03-24T20:39:54.632Z","Included","gpt-5.3-codex","Yes","0","41094","1574016","6334","1621444","Included"
"2026-03-24T20:37:51.020Z","Included","gpt-5.3-codex","Yes","0","48803","1952000","4670","2005473","Included"
"2026-03-24T20:33:47.954Z","Included","gpt-5.3-codex","Yes","0","66869","2436096","10891","2513856","Included"
"2026-03-24T20:30:45.444Z","Included","gpt-5.3-codex","Yes","0","57701","1074432","6757","1138890","Included"
"2026-03-24T20:27:31.477Z","Included","gpt-5.3-codex","Yes","0","385034","2312064","21666","2718764","Included"
"2026-03-24T20:24:03.421Z","Included","gpt-5.3-codex","Yes","0","233636","3009536","6132","3249304","Included"
"2026-03-24T20:20:10.821Z","Included","composer-2","Yes","0","28677","128512","5795","162984","Included"
"2026-03-24T20:20:10.751Z","Included","composer-2","Yes","0","23251","61952","4752","89955","Included"
"2026-03-24T20:20:10.743Z","Included","composer-2","Yes","0","27040","151552","4631","183223","Included"
"2026-03-24T20:19:48.059Z","Included","gpt-5.3-codex","Yes","0","8821","525952","3538","538311","Included"
"2026-03-24T20:19:18.927Z","Included","gpt-5.3-codex","Yes","0","10806","163584","160","174550","Included"
"2026-03-24T20:16:33.554Z","Included","gpt-5.3-codex","Yes","0","12456","1185024","3390","1200870","Included"
"2026-03-24T20:15:52.590Z","Included","gpt-5.3-codex","Yes","0","2793","483456","1109","487358","Included"
"2026-03-24T20:14:49.367Z","Included","gpt-5.3-codex","Yes","0","2076","157824","321","160221","Included"
"2026-03-24T20:12:45.136Z","Included","gpt-5.3-codex","Yes","0","2483","315008","1625","319116","Included"
"2026-03-24T20:10:55.138Z","Included","gpt-5.3-codex","Yes","0","10299","146688","913","157900","Included"
"2026-03-24T20:10:01.185Z","Included","gpt-5.3-codex","Yes","0","29203","421632","975","451810","Included"
"2026-03-24T20:07:51.749Z","Included","gpt-5.3-codex","Yes","0","145495","127360","1545","274400","Included"
"2026-03-24T19:58:34.972Z","Included","gpt-5.3-codex","Yes","0","605033","4488448","33275","5126756","Included"
"2026-03-24T19:57:18.015Z","Included","gpt-5.3-codex","Yes","0","129238","370688","1857","501783","Included"
"2026-03-24T19:42:08.306Z","Included","gpt-5.3-codex","Yes","0","331115","9411200","20230","9762545","Included"
"2026-03-24T19:35:56.770Z","Included","composer-2","Yes","0","21225","112640","3634","137499","Included"
"2026-03-24T19:35:56.598Z","Included","composer-2","Yes","0","31493","113664","4443","149600","Included"
"2026-03-24T19:35:56.340Z","Included","composer-2","Yes","0","31395","109056","4492","144943","Included"
"2026-03-24T19:35:42.951Z","Included","gpt-5.3-codex","Yes","0","134231","128512","2364","265107","Included"
"2026-03-24T19:31:02.727Z","Included","gpt-5.3-codex","Yes","0","2375","1002752","2293","1007420","Included"
"2026-03-24T19:27:40.678Z","Included","gpt-5.3-codex","Yes","0","974","122880","618","124472","Included"
"2026-03-24T19:25:34.628Z","Included","gpt-5.3-codex","Yes","0","123030","0","696","123726","Included"
"2026-03-24T19:16:21.432Z","Included","composer-2-fast","Yes","0","3360","730016","1065","734441","Included"
"2026-03-24T19:10:51.441Z","Included","composer-2-fast","Yes","0","1675","567360","915","569950","Included"
"2026-03-24T19:09:23.949Z","Included","composer-2-fast","Yes","0","147","140192","858","141197","Included"
"2026-03-24T19:09:09.504Z","Included","composer-2-fast","Yes","0","244","140000","338","140582","Included"
"2026-03-24T19:08:09.974Z","Included","composer-2-fast","Yes","0","264","139648","137","140049","Included"
"2026-03-24T19:06:52.728Z","Included","composer-2-fast","Yes","0","258","138528","922","139708","Included"
"2026-03-24T19:05:40.176Z","Included","composer-2-fast","Yes","0","478","137184","908","138570","Included"
"2026-03-24T19:01:21.263Z","Included","composer-2-fast","Yes","0","263","136320","666","137249","Included"
"2026-03-24T18:59:48.096Z","Included","composer-2-fast","Yes","0","265","135488","625","136378","Included"
